(0,2):-0.0145
(0,3):0.115315741885
(0,38):0.0145
(0,73):-0.00295864958312
(0,81):0.0206632086885
(1,3):-1.24659180104
(1,9):1.13578364094
(3,7):-1.91144076159
(4,6):-1.99454688166
(4,12):3.60918007157
(5,14):-2.59615384615
(5,18):2.71153846154
(6,10):-4.93887799268
(6,13):2.59615384615
(6,17):-2.71153846154
(7,9):-2.88496959669
(8,16):-1.61538461538
(8,20):6.34615384615
(9,15):1.61538461538
(9,19):-6.34615384615
(10,12):-3.79913691745
(11,18):0.288461538462
(12,17):-0.288461538462
(13,24):-3.28846153846
(14,23):3.28846153846
(15,22):-7.61538461538
(16,21):7.61538461538
(17,24):-7.21153846154
(17,28):4.21153846154
(18,23):7.21153846154
(18,27):-4.21153846154
(19,26):-5.88461538462
(20,25):5.88461538462
(21,32):-8.65384615385
(22,31):8.65384615385
(23,30):-14.7115384615
(23,34):-4.78846153846
(24,29):14.7115384615
(24,33):4.78846153846
(25,32):-14.8846153846
(26,31):14.8846153846
(27,34):-14.1346153846
(28,33):14.1346153846
(37,39):-1.24659180104
(37,45):1.13578364094
(39,43):-1.91144076159
(40,42):-1.99454688166
(40,48):3.60918007157
(41,50):-2.59615384615
(41,54):2.71153846154
(42,46):-4.93887799268
(42,49):2.59615384615
(42,53):-2.71153846154
(43,45):-2.88496959669
(44,52):-1.61538461538
(44,56):6.34615384615
(45,51):1.61538461538
(45,55):-6.34615384615
(46,48):-3.79913691745
(47,54):0.288461538462
(48,53):-0.288461538462
(49,60):-3.28846153846
(50,59):3.28846153846
(51,58):-7.61538461538
(52,57):7.61538461538
(53,60):-7.21153846154
(53,64):4.21153846154
(54,59):7.21153846154
(54,63):-4.21153846154
(55,62):-5.88461538462
(56,61):5.88461538462
(57,68):-8.65384615385
(58,67):8.65384615385
(59,66):-14.7115384615
(59,70):-4.78846153846
(60,65):14.7115384615
(60,69):4.78846153846
(61,68):-14.8846153846
(62,67):14.8846153846
(63,70):-14.1346153846
(64,69):14.1346153846
